"pulocationid","Count"
"1","1959"
"2","19"
"3","1358"
"4","31861"
"5","90"
"6","102"
"7","29535"
"8","232"
"9","853"
"10","7432"
"11","703"
"12","5261"
"13","141920"
"14","3541"
"15","599"
"16","1066"
"17","6648"
"18","2419"
"19","760"
"20","1386"
"21","1433"
"22","1992"
"23","492"
"24","74047"
"25","16832"
"26","3117"
"27","70"
"28","3859"
"29","1998"
"30","12"
"31","234"
"32","1779"
"33","17793"
"34","1153"
"35","7104"
"36","2702"
"37","7506"
"38","1359"
"39","6957"
"40","7655"
"41","110787"
"42","59091"
"43","318882"
"44","633"
"45","33073"
"46","212"
"47","2581"
"48","626406"
"49","6035"
"50","168376"
"51","3957"
"52","9737"
"53","905"
"54","657"
"55","2427"
"56","3341"
"57","202"
"58","136"
"59","97"
"60","1325"
"61","12017"
"62","3342"
"63","2319"
"64","868"
"65","21585"
"66","7161"
"67","768"
"68","481498"
"69","4833"
"70","11181"
"71","4129"
"72","4845"
"73","413"
"74","118203"
"75","234968"
"76","11348"
"77","3096"
"78","2719"
"79","496462"
"80","6061"
"81","1932"
"82","10641"
"83","2272"
"84","65"
"85","2701"
"86","1470"
"87","123556"
"88","65618"
"89","7427"
"90","371605"
"91","4394"
"92","2745"
"93","7778"
"94","1269"
"95","5854"
"96","86"
"97","18299"
"98","654"
"99","49"
"100","399352"
"101","913"
"102","1116"
"105","11"
"106","2925"
"107","476639"
"108","1122"
"109","38"
"111","17"
"112","5271"
"113","305109"
"114","238087"
"115","277"
"116","33378"
"117","2105"
"118","174"
"119","2745"
"120","186"
"121","2209"
"122","977"
"123","1919"
"124","1326"
"125","99826"
"126","1571"
"127","3233"
"128","377"
"129","10538"
"130","6112"
"131","1501"
"132","574385"
"133","1938"
"134","2695"
"135","2036"
"136","2906"
"137","315313"
"138","365465"
"139","1799"
"140","470904"
"141","565577"
"142","632721"
"143","266173"
"144","171815"
"145","26431"
"146","18828"
"147","1680"
"148","216820"
"149","1348"
"150","663"
"151","232630"
"152","25659"
"153","692"
"154","108"
"155","2501"
"156","181"
"157","2734"
"158","170275"
"159","7671"
"160","875"
"161","835088"
"162","723382"
"163","535891"
"164","434546"
"165","2468"
"166","128607"
"167","2956"
"168","9396"
"169","3194"
"170","638906"
"171","1339"
"172","33"
"173","1195"
"174","3575"
"175","371"
"176","23"
"177","4002"
"178","450"
"179","10662"
"180","731"
"181","15458"
"182","2816"
"183","1137"
"184","111"
"185","3016"
"186","731713"
"187","44"
"188","10539"
"189","3938"
"190","713"
"191","2201"
"192","779"
"193","18926"
"194","1404"
"195","2084"
"196","3457"
"197","4067"
"198","1873"
"199","10"
"200","1167"
"201","408"
"202","1239"
"203","1857"
"204","44"
"205","4045"
"206","187"
"207","1457"
"208","1984"
"209","38610"
"210","2279"
"211","145383"
"212","2033"
"213","4980"
"214","143"
"215","4762"
"216","4815"
"217","1792"
"218","3211"
"219","3042"
"220","2201"
"221","110"
"222","2533"
"223","9986"
"224","41022"
"225","6491"
"226","32384"
"227","1582"
"228","4156"
"229","424233"
"230","631641"
"231","305359"
"232","28630"
"233","267614"
"234","592164"
"235","3781"
"236","909780"
"237","958369"
"238","494314"
"239","588516"
"240","384"
"241","1907"
"242","3921"
"243","5912"
"244","30130"
"245","36"
"246","313297"
"247","5698"
"248","2111"
"249","395657"
"250","2078"
"251","47"
"252","775"
"253","83"
"254","3892"
"255","10110"
"256","9400"
"257","1166"
"258","1800"
"259","1922"
"260","10864"
"261","99232"
"262","301593"
"263","468486"
"264","140557"
"265","34821"
