"vendorid","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","ratecodeid","store_and_fwd_flag","pulocationid","dolocationid","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge","locationid","borough","zone","service_zone","locationid","borough","zone","service_zone"
"1","2020-10-28 18:40:09","2020-10-28 18:44:20","1","0.4","1","N","137","107","1","4.5","3.5","0.5","2.0","0.0","0.3","10.8","2.5","137","Manhattan","Kips Bay","Yellow Zone","137","Manhattan","Kips Bay","Yellow Zone"
"2","2020-10-28 18:15:12","2020-10-28 18:45:47","1","4.77","1","N","162","33","1","20.5","1.0","0.5","6.2","0.0","0.3","31.0","2.5","162","Manhattan","Midtown East","Yellow Zone","162","Manhattan","Midtown East","Yellow Zone"
"2","2020-10-28 18:26:00","2020-10-28 18:31:56","1","1.03","1","N","166","41","2","5.5","1.0","0.5","0.0","0.0","0.3","7.3","0.0","166","Manhattan","Morningside Heights","Boro Zone","166","Manhattan","Morningside Heights","Boro Zone"
"2","2020-10-28 18:08:51","2020-10-28 18:27:11","1","3.53","1","N","137","114","1","15.0","1.0","0.5","5.79","0.0","0.3","25.09","2.5","137","Manhattan","Kips Bay","Yellow Zone","137","Manhattan","Kips Bay","Yellow Zone"
"2","2020-10-28 18:30:12","2020-10-28 18:40:35","1","1.43","1","N","249","164","1","8.5","1.0","0.5","2.56","0.0","0.3","15.36","2.5","249","Manhattan","West Village","Yellow Zone","249","Manhattan","West Village","Yellow Zone"
"2","2020-10-28 18:51:28","2020-10-28 18:59:15","1","1.58","1","N","137","4","1","8.0","1.0","0.5","2.0","0.0","0.3","14.3","2.5","137","Manhattan","Kips Bay","Yellow Zone","137","Manhattan","Kips Bay","Yellow Zone"
"2","2020-10-28 18:34:19","2020-10-28 18:47:30","1","3.5","1","N","231","50","1","13.0","1.0","0.5","1.21","0.0","0.3","18.51","2.5","231","Manhattan","TriBeCa/Civic Center","Yellow Zone","231","Manhattan","TriBeCa/Civic Center","Yellow Zone"
"2","2020-10-28 18:54:58","2020-10-28 19:01:15","1","1.01","1","N","100","68","1","6.0","1.0","0.5","1.5","0.0","0.3","11.8","2.5","100","Manhattan","Garment District","Yellow Zone","100","Manhattan","Garment District","Yellow Zone"
"2","2020-10-28 18:00:18","2020-10-28 18:09:03","5","0.7","1","N","151","238","1","5.0","1.0","0.5","3.0","0.0","0.3","12.3","2.5","151","Manhattan","Manhattan Valley","Yellow Zone","151","Manhattan","Manhattan Valley","Yellow Zone"
"2","2020-10-28 18:19:54","2020-10-28 18:24:19","4","0.67","1","N","239","143","1","5.0","1.0","0.5","1.86","0.0","0.3","11.16","2.5","239","Manhattan","Upper West Side South","Yellow Zone","239","Manhattan","Upper West Side South","Yellow Zone"
"2","2020-10-28 18:43:54","2020-10-28 18:51:38","4","2.0","1","N","90","48","2","8.0","1.0","0.5","0.0","0.0","0.3","12.3","2.5","90","Manhattan","Flatiron","Yellow Zone","90","Manhattan","Flatiron","Yellow Zone"
"2","2020-10-28 18:18:58","2020-10-28 18:48:44","1","20.64","2","N","132","145","1","52.0","4.5","0.5","6.0","6.12","0.3","69.42","0.0","132","Queens","JFK Airport","Airports","132","Queens","JFK Airport","Airports"
"1","2020-10-28 18:07:16","2020-10-28 18:11:21","1","0.7","1","N","234","186","2","5.0","3.5","0.5","0.0","0.0","0.3","9.3","2.5","234","Manhattan","Union Sq","Yellow Zone","234","Manhattan","Union Sq","Yellow Zone"
"1","2020-10-28 18:29:23","2020-10-28 18:48:20","1","5.2","1","N","143","13","2","18.5","3.5","0.5","0.0","0.0","0.3","22.8","2.5","143","Manhattan","Lincoln Square West","Yellow Zone","143","Manhattan","Lincoln Square West","Yellow Zone"
"1","2020-10-28 18:57:01","2020-10-28 19:03:37","1","1.6","1","N","231","249","1","7.5","3.5","0.5","2.35","0.0","0.3","14.15","2.5","231","Manhattan","TriBeCa/Civic Center","Yellow Zone","231","Manhattan","TriBeCa/Civic Center","Yellow Zone"
"2","2020-10-28 18:13:56","2020-10-28 18:26:45","1","2.38","1","N","161","236","1","10.5","1.0","0.5","2.96","0.0","0.3","17.76","2.5","161","Manhattan","Midtown Center","Yellow Zone","161","Manhattan","Midtown Center","Yellow Zone"
"2","2020-10-28 18:37:47","2020-10-28 18:54:17","1","3.38","1","N","237","74","1","13.5","1.0","0.5","3.56","0.0","0.3","21.36","2.5","237","Manhattan","Upper East Side South","Yellow Zone","237","Manhattan","Upper East Side South","Yellow Zone"
"2","2020-10-28 18:57:58","2020-10-28 19:24:22","1","4.17","1","N","186","262","1","18.5","1.0","0.5","4.56","0.0","0.3","27.36","2.5","186","Manhattan","Penn Station/Madison Sq West","Yellow Zone","186","Manhattan","Penn Station/Madison Sq West","Yellow Zone"
"1","2020-10-28 18:11:08","2020-10-28 18:19:49","1","2.0","1","N","186","143","2","9.0","3.5","0.5","0.0","0.0","0.3","13.3","2.5","186","Manhattan","Penn Station/Madison Sq West","Yellow Zone","186","Manhattan","Penn Station/Madison Sq West","Yellow Zone"
"2","2020-10-28 18:08:08","2020-10-28 18:17:17","1","1.44","1","N","142","238","1","7.5","1.0","0.5","2.95","0.0","0.3","14.75","2.5","142","Manhattan","Lincoln Square East","Yellow Zone","142","Manhattan","Lincoln Square East","Yellow Zone"
"2","2020-10-28 18:36:01","2020-10-28 18:44:16","1","1.02","1","N","48","246","1","7.0","1.0","0.5","1.0","0.0","0.3","12.3","2.5","48","Manhattan","Clinton East","Yellow Zone","48","Manhattan","Clinton East","Yellow Zone"
"2","2020-10-28 18:01:32","2020-10-28 18:09:37","1","1.16","1","N","87","148","1","7.5","1.0","0.5","1.5","0.0","0.3","13.3","2.5","87","Manhattan","Financial District North","Yellow Zone","87","Manhattan","Financial District North","Yellow Zone"
"2","2020-10-28 18:15:42","2020-10-28 18:19:42","1","0.39","1","N","79","114","1","4.5","1.0","0.5","2.0","0.0","0.3","10.8","2.5","79","Manhattan","East Village","Yellow Zone","79","Manhattan","East Village","Yellow Zone"
"2","2020-10-28 18:38:18","2020-10-28 18:40:47","1","0.65","1","N","163","142","1","4.0","1.0","0.5","1.66","0.0","0.3","9.96","2.5","163","Manhattan","Midtown North","Yellow Zone","163","Manhattan","Midtown North","Yellow Zone"
"2","2020-10-28 18:53:58","2020-10-28 19:02:24","1","1.19","1","N","161","48","1","7.0","1.0","0.5","2.26","0.0","0.3","13.56","2.5","161","Manhattan","Midtown Center","Yellow Zone","161","Manhattan","Midtown Center","Yellow Zone"
"2","2020-10-28 18:36:41","2020-10-28 18:47:23","1","2.25","1","N","230","239","1","10.0","1.0","0.5","2.86","0.0","0.3","17.16","2.5","230","Manhattan","Times Sq/Theatre District","Yellow Zone","230","Manhattan","Times Sq/Theatre District","Yellow Zone"
"2","2020-10-28 18:49:14","2020-10-28 19:18:45","1","9.15","1","N","138","163","2","30.5","1.0","0.5","0.0","0.0","0.3","34.8","2.5","138","Queens","LaGuardia Airport","Airports","138","Queens","LaGuardia Airport","Airports"
"1","2020-10-28 18:15:30","2020-10-28 18:31:11","1","4.5","1","N","231","232","1","16.5","3.5","0.5","4.15","0.0","0.3","24.95","2.5","231","Manhattan","TriBeCa/Civic Center","Yellow Zone","231","Manhattan","TriBeCa/Civic Center","Yellow Zone"
"1","2020-10-28 18:24:40","2020-10-28 18:28:38","1","0.6","1","N","166","151","1","5.0","1.0","0.5","2.0","0.0","0.3","8.8","0.0","166","Manhattan","Morningside Heights","Boro Zone","166","Manhattan","Morningside Heights","Boro Zone"
"1","2020-10-28 18:27:04","2020-10-28 18:38:32","0","2.4","1","N","142","151","1","10.5","3.5","0.5","2.95","0.0","0.3","17.75","2.5","142","Manhattan","Lincoln Square East","Yellow Zone","142","Manhattan","Lincoln Square East","Yellow Zone"
"2","2020-10-28 18:40:28","2020-10-28 18:56:01","5","3.82","1","N","237","249","1","14.0","1.0","0.5","3.66","0.0","0.3","21.96","2.5","237","Manhattan","Upper East Side South","Yellow Zone","237","Manhattan","Upper East Side South","Yellow Zone"
